JESSICA,1
ASHLEY,0.5
BRITTANY,0.333
AMANDA,0.25
SAMANTHA,0.2
SARAH,0.166
STEPHANIE,0.142
JENNIFER,0.125
ELIZABETH,0.111
LAUREN,0.1
MEGAN,0.0909
EMILY,0.0833
NICOLE,0.0769
KAYLA,0.0714
AMBER,0.0666
RACHEL,0.0625
COURTNEY,0.0588
DANIELLE,0.0555
HEATHER,0.0526
MELISSA,0.05
REBECCA,0.0476
MICHELLE,0.0454
TIFFANY,0.0434
CHELSEA,0.0416
CHRISTINA,0.04
KATHERINE,0.0384
ALYSSA,0.037
SARA,0.0357
ERICA,0.0344
AMY,0.0333
CRYSTAL,0.0322
ANDREA,0.0312
MARIA,0.0303
MARY,0.0294
KIMBERLY,0.0285
LISA,0.0277
CASSANDRA,0.027
ANGELA,0.0263
KELLY,0.0256
VICTORIA,0.025
ALLISON,0.0243
LINDSEY,0.0238
SHANNON,0.0232
ERIN,0.0227
JAMIE,0.0222
KELSEY,0.0217
KATIE,0.0212
LINDSAY,0.0208
CHRISTINE,0.0204
ALICIA,0.02
VANESSA,0.0196
KATHRYN,0.0192
KRISTEN,0.0188
ANNA,0.0185
BROOKE,0.0181
APRIL,0.0178
LAURA,0.0175
NATASHA,0.0172
HANNAH,0.0169
WHITNEY,0.0166
TARA,0.0163
MONICA,0.0161
KRYSTAL,0.0158
JASMINE,0.0156
BRANDI,0.0153
NATALIE,0.0151
SABRINA,0.0149
JULIA,0.0147
KRISTINA,0.0144
HOLLY,0.0142
MELANIE,0.014
BRITTNEY,0.0138
CATHERINE,0.0136
ALEXANDRA,0.0135
BRANDY,0.0133
CAITLIN,0.0131
HALEY,0.013
KAITLIN,0.0128
VERONICA,0.0126
VALERIE,0.0125
DOMINIQUE,0.0123
KATRINA,0.0121
BETHANY,0.012
DANA,0.0119
JACQUELINE,0.0117
JENNA,0.0116
ANGEL,0.0114
ARIEL,0.0113
MIRANDA,0.0112
AUTUMN,0.0111
BRIANA,0.011
KARA,0.0109
MEGHAN,0.0108
FELICIA,0.0107
RACHAEL,0.0106
LEAH,0.0105
SANDRA,0.0104
NANCY,0.0103
MOLLY,0.0102
CAROLINE,0.0101
CYNTHIA,0.01
JENNY,0.0099
KELLIE,0.0098
MORGAN,0.0097
KRISTA,0.0096
ANNE,0.0095
KENDRA,0.0094
KARI,0.0093
CASEY,0.0092
AIMEE,0.0091
JOANNA,0.009
KIRSTEN,0.0089
TAMARA,0.0088
PAMELA,0.0087
LESLIE,0.0086
MEGAN,0.0085
STACY,0.0084
HEIDI,0.0083
TINA,0.0082
JILL,0.0081
KARLA,0.008
CANDICE,0.0079
MARTHA,0.0078
REBEKAH,0.0077
PRISCILLA,0.0076
LINDA,0.0075
TERESA,0.0074
KRISTINE,0.0073
RENEE,0.0072
DEANNA,0.0071
KARI,0.007
SUSAN,0.0069
BARBARA,0.0068
BRIDGET,0.0067
TONYA,0.0066
KELLEY,0.0065
RUTH,0.0064
KATELYN,0.0063
ABIGAIL,0.0062
SOPHIA,0.0061
ISABELLA,0.006
SHELBY,0.0059
GABRIELLE,0.0058
MARISSA,0.0057
CLAIRE,0.0056
HOPE,0.0055
FAITH,0.0054
CHEYENNE,0.0053
SAVANNAH,0.0052
ALEXIS,0.0051
BRIANNA,0.005
MADISON,0.0049
OLIVIA,0.0048
JADA,0.0047
ALYSON,0.0046
TORI,0.0045
BAILEY,0.0044
KYLIE,0.0043
AUBREY,0.0042
JANELLE,0.0041
KAITLYN,0.004
BRENNA,0.0039
KASEY,0.0038
MACKENZIE,0.0037
KENDALL,0.0036
ARIELLE,0.0035
ALISON,0.0034
ELISE,0.0033
MEREDITH,0.0032
TABITHA,0.0031
RAVEN,0.003
GINA,0.0029
TESSA,0.0028
KYLA,0.0027
MALLORY,0.0026
KATELYNN,0.0025
JOCELYN,0.0024
KAITLYNN,0.0023
KASSANDRA,0.0022
KIANA,0.0021
MIKAYLA,0.002
ARIANA,0.00199
ALISHA,0.00198
ELENA,0.00197
KARINA,0.00196
MARINA,0.00195
CAMILLE,0.00194
JUSTINE,0.00193
ROSA,0.00192
ANNIE,0.00191
TANYA,0.0019
JADE,0.00189
MIRIAM,0.00188
ROSE,0.00187
NAOMI,0.00186
LYDIA,0.00185
PAIGE,0.00184
SHAWNA,0.00183
KERI,0.00182
ANGELICA,0.00181
CHRISTY,0.0018
