AK,ANCHORAGE$AK$99501
AK,ANCHORAGE$AK$99502
AK,ANCHORAGE$AK$99503
AK,ANCHORAGE$AK$99504
AK,JBER$AK$99505
AK,JBER$AK$99506
AK,ANCHORAGE$AK$99507
AK,ANCHORAGE$AK$99508
AK,ANCHORAGE$AK$99515
AK,ANCHORAGE$AK$99516
AK,ANCHORAGE$AK$99517
AK,ANCHORAGE$AK$99518
AK,ANCHORAGE$AK$99519
AK,INDIAN$AK$99540
AK,ADAK$AK$99546
AK,ATKA$AK$99547
AK,CHIGNIK LAKE$AK$99548
AK,PORT HEIDEN$AK$99549
AK,PORT LIONS$AK$99550
AK,AKIACHAK$AK$99551
AK,AKIAK$AK$99552
AK,AKUTAN$AK$99553
AK,ALAKANUK$AK$99554
AK,ALEKNAGIK$AK$99555
AK,ANCHOR POINT$AK$99556
AK,ANIAK$AK$99557
AK,ANVIK$AK$99558
AK,BETHEL$AK$99559
AK,CHEFORNAK$AK$99561
AK,CHEVAK$AK$99563
AK,CHIGNIK$AK$99564
AK,CHIGNIK LAGOON$AK$99565
AK,CHITINA$AK$99566
AK,CHUGIAK$AK$99567
AK,CLAM GULCH$AK$99568
AK,CLARKS POINT$AK$99569
AK,COLD BAY$AK$99571
AK,COOPER LANDING$AK$99572
AK,COPPER CENTER$AK$99573
AK,CORDOVA$AK$99574
AK,CROOKED CREEK$AK$99575
AK,DILLINGHAM$AK$99576
AK,EAGLE RIVER$AK$99577
AK,EEK$AK$99578
AK,EGEGIK$AK$99579
AK,EKWOK$AK$99580
AK,EMMONAK$AK$99581
AK,FALSE PASS$AK$99583
AK,MARSHALL$AK$99585
AK,GAKONA$AK$99586
AK,GIRDWOOD$AK$99587
AK,GLENNALLEN$AK$99588
AK,GOODNEWS BAY$AK$99589
AK,GRAYLING$AK$99590
AK,SAINT GEORGE ISLAND$AK$99591
AK,HOLY CROSS$AK$99602
AK,HOMER$AK$99603
AK,HOOPER BAY$AK$99604
AK,HOPE$AK$99605
AK,ILIAMNA$AK$99606
AK,KALSKAG$AK$99607
AK,KARLUK$AK$99608
AK,KASIGLUK$AK$99609
AK,KASILOF$AK$99610
AK,KENAI$AK$99611
AK,KING COVE$AK$99612
AK,KING SALMON$AK$99613
