name,weight,year,gender
Michael,1,1990,M
Christopher,0.5,1990,M
Matthew,0.333,1990,M
Joshua,0.25,1990,M
Daniel,0.2,1990,M
David,0.166,1990,M
Andrew,0.142,1990,M
James,0.125,1990,M
Justin,0.111,1990,M
Joseph,0.1,1990,M
Ryan,0.0909,1990,M
John,0.0833,1990,M
Robert,0.0769,1990,M
Nicholas,0.0714,1990,M
Anthony,0.0666,1990,M
William,0.0625,1990,M
Jonathan,0.0588,1990,M
Kyle,0.0555,1990,M
Brandon,0.0526,1990,M
Jacob,0.05,1990,M
Tyler,0.0476,1990,M
Zachary,0.0454,1990,M
Kevin,0.0434,1990,M
Eric,0.0416,1990,M
Steven,0.04,1990,M
Thomas,0.0384,1990,M
Brian,0.037,1990,M
Alexander,0.0357,1990,M
Jordan,0.0344,1990,M
Timothy,0.0333,1990,M
Cody,0.0322,1990,M
Adam,0.0312,1990,M
Benjamin,0.0303,1990,M
Aaron,0.0294,1990,M
Richard,0.0285,1990,M
Patrick,0.0277,1990,M
Sean,0.027,1990,M
Charles,0.0263,1990,M
Stephen,0.0256,1990,M
Jeremy,0.025,1990,M
Jose,0.0243,1990,M
Travis,0.0238,1990,M
Jeffrey,0.0232,1990,M
Nathan,0.0227,1990,M
Samuel,0.0222,1990,M
Jason,0.0217,1990,M
Mark,0.0212,1990,M
Jesse,0.0208,1990,M
Paul,0.0204,1990,M
Dustin,0.02,1990,M
Gregory,0.0196,1990,M
Kenneth,0.0192,1990,M
Scott,0.0188,1990,M
Derek,0.0185,1990,M
Austin,0.0181,1990,M
Corey,0.0178,1990,M
Bryan,0.0175,1990,M
Ethan,0.0172,1990,M
Alex,0.0169,1990,M
Christian,0.0166,1990,M
Juan,0.0163,1990,M
Cameron,0.0161,1990,M
Jared,0.0158,1990,M
Taylor,0.0156,1990,M
Bradley,0.0153,1990,M
Luis,0.0151,1990,M
Cory,0.0149,1990,M
Edward,0.0147,1990,M
Shawn,0.0144,1990,M
Ian,0.0142,1990,M
Evan,0.014,1990,M
Marcus,0.0138,1990,M
Shane,0.0136,1990,M
Peter,0.0135,1990,M
Carlos,0.0133,1990,M
Trevor,0.0131,1990,M
Antonio,0.013,1990,M
Vincent,0.0128,1990,M
George,0.0126,1990,M
Keith,0.0125,1990,M
Phillip,0.0123,1990,M
Victor,0.0121,1990,M
Dylan,0.012,1990,M
Brett,0.0119,1990,M
Chad,0.0117,1990,M
Nathaniel,0.0116,1990,M
Donald,0.0114,1990,M
Caleb,0.0113,1990,M
Casey,0.0112,1990,M
Jesus,0.0111,1990,M
Blake,0.011,1990,M
Raymond,0.0109,1990,M
Mitchell,0.0108,1990,M
Adrian,0.0107,1990,M
Joel,0.0106,1990,M
Erik,0.0105,1990,M
Ronald,0.0104,1990,M
Devin,0.0103,1990,M
Garrett,0.0102,1990,M
Gabriel,0.0101,1990,M
Miguel,0.01,1990,M
Seth,0.0099,1990,M
Douglas,0.0098,1990,M
Shane,0.0097,1990,M
Logan,0.0096,1990,M
Spencer,0.0095,1990,M
Derrick,0.0094,1990,M
Luke,0.0093,1990,M
Ricardo,0.0092,1990,M
Alejandro,0.0091,1990,M
Lucas,0.009,1990,M
Jorge,0.0089,1990,M
Garrett,0.0088,1990,M
Phillip,0.0087,1990,M
Brent,0.0086,1990,M
Trevor,0.0085,1990,M
Jared,0.0084,1990,M
Tanner,0.0083,1990,M
Corey,0.0082,1990,M
Colton,0.0081,1990,M
Dakota,0.008,1990,M
Devon,0.0079,1990,M
Dustin,0.0078,1990,M
Gavin,0.0077,1990,M
Grant,0.0076,1990,M
Hayden,0.0075,1990,M
Hunter,0.0074,1990,M
Isaac,0.0073,1990,M
Isaiah,0.0072,1990,M
Ivan,0.0071,1990,M
