Jacob,1,2000,M
Michael,0.5,2000,M
Matthew,0.333,2000,M
Joshua,0.25,2000,M
Christopher,0.2,2000,M
Nicholas,0.166,2000,M
Andrew,0.142,2000,M
Joseph,0.125,2000,M
Daniel,0.111,2000,M
Tyler,0.1,2000,M
William,0.0909,2000,M
Brandon,0.0833,2000,M
Ryan,0.0769,2000,M
John,0.0714,2000,M
Zachary,0.0666,2000,M
David,0.0625,2000,M
Anthony,0.0588,2000,M
James,0.0555,2000,M
Justin,0.0526,2000,M
Alexander,0.05,2000,M
Jonathan,0.0476,2000,M
Christian,0.0454,2000,M
Austin,0.0434,2000,M
Dylan,0.0416,2000,M
Ethan,0.04,2000,M
Benjamin,0.0384,2000,M
Noah,0.037,2000,M
Samuel,0.0357,2000,M
Robert,0.0344,2000,M
Nathan,0.0333,2000,M
Cameron,0.0322,2000,M
Kevin,0.0312,2000,M
Thomas,0.0303,2000,M
Jose,0.0294,2000,M
Hunter,0.0285,2000,M
Jordan,0.0277,2000,M
Kyle,0.027,2000,M
Caleb,0.0263,2000,M
Jason,0.0256,2000,M
Logan,0.025,2000,M
Aaron,0.0243,2000,M
Eric,0.0238,2000,M
Brian,0.0232,2000,M
Gabriel,0.0227,2000,M
Adam,0.0222,2000,M
Jack,0.0217,2000,M
Isaiah,0.0212,2000,M
Juan,0.0208,2000,M
Luis,0.0204,2000,M
Connor,0.02,2000,M
Charles,0.0196,2000,M
Elijah,0.0192,2000,M
Isaac,0.0188,2000,M
Steven,0.0185,2000,M
Evan,0.0181,2000,M
Jared,0.0178,2000,M
Sean,0.0175,2000,M
Timothy,0.0172,2000,M
Luke,0.0169,2000,M
Cody,0.0166,2000,M
Seth,0.0163,2000,M
Mason,0.0161,2000,M
Angel,0.0158,2000,M
Patrick,0.0156,2000,M
Devin,0.0153,2000,M
Jesse,0.0151,2000,M
Alex,0.0149,2000,M
Trevor,0.0147,2000,M
Jeremiah,0.0144,2000,M
Bryan,0.0142,2000,M
Cole,0.014,2000,M
Lucas,0.0138,2000,M
Mark,0.0136,2000,M
Marcus,0.0135,2000,M
Garrett,0.0133,2000,M
Kenneth,0.0131,2000,M
Bradley,0.013,2000,M
Chase,0.0128,2000,M
