name,weight,year,gender
James,1,1950,M
John,0.5,1950,M
Robert,0.333,1950,M
Michael,0.25,1950,M
William,0.2,1950,M
David,0.166,1950,M
Richard,0.142,1950,M
Joseph,0.125,1950,M
Charles,0.111,1950,M
Thomas,0.1,1950,M
Donald,0.0909,1950,M
George,0.0833,1950,M
Ronald,0.0769,1950,M
Kenneth,0.0714,1950,M
Paul,0.0666,1950,M
Edward,0.0625,1950,M
Jerry,0.0588,1950,M
Daniel,0.0555,1950,M
Frank,0.0526,1950,M
Gary,0.05,1950,M
Larry,0.0476,1950,M
Raymond,0.0454,1950,M
Roger,0.0434,1950,M
Dennis,0.0416,1950,M
Walter,0.04,1950,M
Patrick,0.0384,1950,M
Peter,0.037,1950,M
Harold,0.0357,1950,M
Douglas,0.0344,1950,M
Henry,0.0333,1950,M
Carl,0.0322,1950,M
Arthur,0.0312,1950,M
Jack,0.0303,1950,M
Albert,0.0294,1950,M
Ralph,0.0285,1950,M
Billy,0.0277,1950,M
Johnny,0.027,1950,M
Lawrence,0.0263,1950,M
Joe,0.0256,1950,M
Eugene,0.025,1950,M
Bruce,0.0243,1950,M
Willie,0.0238,1950,M
Alan,0.0232,1950,M
Wayne,0.0227,1950,M
Roy,0.0222,1950,M
Louis,0.0217,1950,M
Bobby,0.0212,1950,M
Howard,0.0208,1950,M
Fred,0.0204,1950,M
Steve,0.02,1950,M
Francis,0.0196,1950,M
Ernest,0.0192,1950,M
Leonard,0.0188,1950,M
Anthony,0.0185,1950,M
Stanley,0.0181,1950,M
Norman,0.0178,1950,M
Philip,0.0175,1950,M
Jimmy,0.0172,1950,M
Dale,0.0169,1950,M
Russell,0.0166,1950,M
Andrew,0.0163,1950,M
Samuel,0.0161,1950,M
Allen,0.0158,1950,M
Clarence,0.0156,1950,M
Harry,0.0153,1950,M
Gerald,0.0151,1950,M
Melvin,0.0149,1950,M
Lee,0.0147,1950,M
Frederick,0.0144,1950,M
Leon,0.0142,1950,M
Gordon,0.014,1950,M
Edwin,0.0138,1950,M
Tom,0.0136,1950,M
Martin,0.0135,1950,M
Bernard,0.0133,1950,M
Ray,0.0131,1950,M
Alfred,0.013,1950,M
Herbert,0.0128,1950,M
Clifford,0.0126,1950,M
Theodore,0.0125,1950,M
Leroy,0.0123,1950,M
Floyd,0.0121,1950,M
Vernon,0.012,1950,M
Gilbert,0.0119,1950,M
Marvin,0.0117,1950,M
Curtis,0.0116,1950,M
Warren,0.0114,1950,M
Glen,0.0113,1950,M
Lloyd,0.0112,1950,M
Calvin,0.0111,1950,M
Bill,0.011,1950,M
Charlie,0.0109,1950,M
Jesse,0.0108,1950,M
Oscar,0.0107,1950,M
Herman,0.0106,1950,M
Alvin,0.0105,1950,M
Lewis,0.0104,1950,M
Don,0.0103,1950,M
Allen,0.0102,1950,M
Eddie,0.0101,1950,M
Lester,0.01,1950,M
Gene,0.0099,1950,M
Clyde,0.0098,1950,M
Duane,0.0097,1950,M
Clinton,0.0096,1950,M
Arnold,0.0095,1950,M
Max,0.0094,1950,M
Edgar,0.0093,1950,M
Hugh,0.0092,1950,M
Nicholas,0.0091,1950,M
Jessie,0.009,1950,M
Chester,0.0089,1950,M
Wallace,0.0088,1950,M
Sam,0.0087,1950,M
Everett,0.0086,1950,M
Wesley,0.0085,1950,M
Alfredo,0.0084,1950,M
Manuel,0.0083,1950,M
Jerome,0.0082,1950,M
Willard,0.0081,1950,M
Guy,0.008,1950,M
Roland,0.0079,1950,M
Sidney,0.0078,1950,M
Virgil,0.0077,1950,M
Ben,0.0076,1950,M
Karl,0.0075,1950,M
Milton,0.0074,1950,M
Garry,0.0073,1950,M
Neil,0.0072,1950,M
Clifton,0.0071,1950,M
Ted,0.007,1950,M
Rudolph,0.0069,1950,M
Perry,0.0068,1950,M
Salvatore,0.0067,1950,M
Terrence,0.0066,1950,M
Marshall,0.0065,1950,M
Homer,0.0064,1950,M
Franklin,0.0063,1950,M
Allan,0.0062,1950,M
Julius,0.0061,1950,M
Maurice,0.006,1950,M
Kent,0.0059,1950,M
Ruben,0.0058,1950,M
Lyle,0.0057,1950,M
Ivan,0.0056,1950,M
Elmer,0.0055,1950,M
Wilbur,0.0054,1950,M
Morris,0.0053,1950,M
Orville,0.0052,1950,M
Earnest,0.0051,1950,M
Byron,0.005,1950,M
Claud,0.0049,1950,M
Grover,0.0048,1950,M
Irvin,0.0047,1950,M
Irving,0.0046,1950,M
Otis,0.0045,1950,M
Sylvester,0.0044,1950,M
Hubert,0.0043,1950,M
Murray,0.0042,1950,M
Phillip,0.0041,1950,M
Rex,0.004,1950,M
Delbert,0.0039,1950,M
Lowell,0.0038,1950,M
Harvey,0.0037,1950,M
Loren,0.0036,1950,M
Merle,0.0035,1950,M
Ned,0.0034,1950,M
Bennie,0.0033,1950,M
Forrest,0.0032,1950,M
Emmett,0.0031,1950,M
Archie,0.003,1950,M
Felix,0.0029,1950,M
Roscoe,0.0028,1950,M
Irwin,0.0027,1950,M
Boyd,0.0026,1950,M
Alton,0.0025,1950,M
Conrad,0.0024,1950,M
Elbert,0.0023,1950,M
Sherman,0.0022,1950,M
Reuben,0.0021,1950,M
Cecil,0.002,1950,M
