Emily,1,2000,F
Hannah,0.5,2000,F
Madison,0.333,2000,F
Ashley,0.25,2000,F
Sarah,0.2,2000,F
Alexis,0.166,2000,F
Samantha,0.142,2000,F
Jessica,0.125,2000,F
Elizabeth,0.111,2000,F
Taylor,0.1,2000,F
Lauren,0.0909,2000,F
Alyssa,0.0833,2000,F
Kayla,0.0769,2000,F
Abigail,0.0714,2000,F
Brianna,0.0666,2000,F
Olivia,0.0625,2000,F
Emma,0.0588,2000,F
Megan,0.0555,2000,F
Grace,0.0526,2000,F
Victoria,0.05,2000,F
Rachel,0.0476,2000,F
Anna,0.0454,2000,F
Sydney,0.0434,2000,F
Destiny,0.0416,2000,F
Morgan,0.04,2000,F
Jennifer,0.0384,2000,F
Jasmine,0.037,2000,F
Haley,0.0357,2000,F
Julia,0.0344,2000,F
Kaitlyn,0.0333,2000,F
Nicole,0.0322,2000,F
Amanda,0.0312,2000,F
Katherine,0.0303,2000,F
Natalie,0.0294,2000,F
Alexandra,0.0285,2000,F
Savannah,0.0277,2000,F
Chloe,0.027,2000,F
Rebecca,0.0263,2000,F
Stephanie,0.0256,2000,F
Maria,0.025,2000,F
Brooke,0.0243,2000,F
Allison,0.0238,2000,F
Kaylee,0.0232,2000,F
Hailey,0.0227,2000,F
Amber,0.0222,2000,F
Isabella,0.0217,2000,F
Danielle,0.0212,2000,F
Erin,0.0208,2000,F
Sierra,0.0204,2000,F
Madeline,0.02,2000,F
Briana,0.0196,2000,F
Melissa,0.0192,2000,F
Angelina,0.0188,2000,F
Shelby,0.0185,2000,F
Adriana,0.0181,2000,F
Mariah,0.0178,2000,F
Katelyn,0.0175,2000,F
Jordan,0.0172,2000,F
Courtney,0.0169,2000,F
Ariana,0.0166,2000,F
Vanessa,0.0163,2000,F
Paige,0.0161,2000,F
Gabrielle,0.0158,2000,F
Makayla,0.0156,2000,F
Tessa,0.0153,2000,F
Autumn,0.0151,2000,F
Marissa,0.0149,2000,F
Faith,0.0147,2000,F
Jenna,0.0144,2000,F
Andrea,0.0142,2000,F
Trinity,0.014,2000,F
Mary,0.0138,2000,F
Kaitlin,0.0136,2000,F
Caitlin,0.0135,2000,F
Breanna,0.0133,2000,F
Mia,0.0131,2000,F
Isabel,0.013,2000,F
Catherine,0.0128,2000,F
Sophia,0.0126,2000,F
Summer,0.0125,2000,F
Cheyenne,0.0123,2000,F
Jada,0.0121,2000,F
Leah,0.012,2000,F
Molly,0.0119,2000,F
Kaitlynn,0.0117,2000,F
Arianna,0.0116,2000,F
Kathryn,0.0114,2000,F
