name,weight,year,gender
Jennifer,1,1970,F
Lisa,0.5,1970,F
Kimberly,0.333,1970,F
Michelle,0.25,1970,F
Amy,0.2,1970,F
Angela,0.166,1970,F
Melissa,0.142,1970,F
Tammy,0.125,1970,F
Mary,0.111,1970,F
Tracy,0.1,1970,F
Karen,0.0909,1970,F
Laura,0.0833,1970,F
Julie,0.0769,1970,F
Susan,0.0714,1970,F
Patricia,0.0666,1970,F
Cynthia,0.0625,1970,F
Donna,0.0588,1970,F
Pamela,0.0555,1970,F
Sandra,0.0526,1970,F
Lori,0.05,1970,F
Elizabeth,0.0476,1970,F
Christine,0.0454,1970,F
Debra,0.0434,1970,F
Kelly,0.0416,1970,F
Sharon,0.04,1970,F
Cheryl,0.0384,1970,F
Barbara,0.037,1970,F
Deborah,0.0357,1970,F
Nicole,0.0344,1970,F
Katherine,0.0333,1970,F
Teresa,0.0322,1970,F
Brenda,0.0312,1970,F
Tina,0.0303,1970,F
Tamara,0.0294,1970,F
Wendy,0.0285,1970,F
Heidi,0.0277,1970,F
Dawn,0.027,1970,F
Rebecca,0.0263,1970,F
Rhonda,0.0256,1970,F
Robin,0.025,1970,F
Sherry,0.0243,1970,F
Andrea,0.0238,1970,F
Kathleen,0.0232,1970,F
Denise,0.0227,1970,F
Theresa,0.0222,1970,F
Maria,0.0217,1970,F
Jacqueline,0.0212,1970,F
Diane,0.0208,1970,F
Valerie,0.0204,1970,F
Catherine,0.02,1970,F
Dana,0.0196,1970,F
Jill,0.0192,1970,F
Paula,0.0188,1970,F
Ann,0.0185,1970,F
Victoria,0.0181,1970,F
Tanya,0.0178,1970,F
Natalie,0.0175,1970,F
Anne,0.0172,1970,F
Kristin,0.0169,1970,F
Beth,0.0166,1970,F
Renee,0.0163,1970,F
Sherri,0.0161,1970,F
Leslie,0.0158,1970,F
Michele,0.0156,1970,F
Kathy,0.0153,1970,F
Kristen,0.0151,1970,F
Carla,0.0149,1970,F
Terry,0.0147,1970,F
Monica,0.0144,1970,F
Connie,0.0142,1970,F
Tonya,0.014,1970,F
Stacy,0.0138,1970,F
Diana,0.0136,1970,F
Sheila,0.0135,1970,F
Melanie,0.0133,1970,F
Jodi,0.0131,1970,F
Jean,0.013,1970,F
Sheryl,0.0128,1970,F
Julia,0.0126,1970,F
Kelli,0.0125,1970,F
Kristina,0.0123,1970,F
Laurie,0.0121,1970,F
Sally,0.012,1970,F
Kristine,0.0119,1970,F
Yvonne,0.0117,1970,F
Joyce,0.0116,1970,F
Lynn,0.0114,1970,F
Marie,0.0113,1970,F
Alice,0.0112,1970,F
Anna,0.0111,1970,F
Ruth,0.011,1970,F
Evelyn,0.0109,1970,F
Jane,0.0108,1970,F
Marcia,0.0107,1970,F
Jeanette,0.0106,1970,F
Marilyn,0.0105,1970,F
Bethany,0.0104,1970,F
Ellen,0.0103,1970,F
Joann,0.0102,1970,F
Sylvia,0.0101,1970,F
Anita,0.01,1970,F
Yolanda,0.0099,1970,F
Charlotte,0.0098,1970,F
Rose,0.0097,1970,F
Joanne,0.0096,1970,F
Gloria,0.0095,1970,F
Phyllis,0.0094,1970,F
Marsha,0.0093,1970,F
Martha,0.0092,1970,F
Penny,0.0091,1970,F
Lynne,0.009,1970,F
Gail,0.0089,1970,F
Caroline,0.0088,1970,F
Regina,0.0087,1970,F
Roberta,0.0086,1970,F
Veronica,0.0085,1970,F
Shari,0.0084,1970,F
April,0.0083,1970,F
Lillian,0.0082,1970,F
Colleen,0.0081,1970,F
Joan,0.008,1970,F
Kara,0.0079,1970,F
Darlene,0.0078,1970,F
Lois,0.0077,1970,F
Marianne,0.0076,1970,F
Sarah,0.0075,1970,F
Maureen,0.0074,1970,F
Charlene,0.0073,1970,F
Geraldine,0.0072,1970,F
Emma,0.0071,1970,F
Norma,0.007,1970,F
Vicki,0.0069,1970,F
Vickie,0.0068,1970,F
Edith,0.0067,1970,F
Carrie,0.0066,1970,F
Shannon,0.0065,1970,F
Tami,0.0064,1970,F
Lydia,0.0063,1970,F
Janie,0.0062,1970,F
Amber,0.0061,1970,F
Tammie,0.006,1970,F
Arlene,0.0059,1970,F
Kellie,0.0058,1970,F
Deanna,0.0057,1970,F
Patti,0.0056,1970,F
Patty,0.0055,1970,F
Shelly,0.0054,1970,F
Shelley,0.0053,1970,F
Becky,0.0052,1970,F
Rita,0.0051,1970,F
Terri,0.005,1970,F
Traci,0.0049,1970,F
Tracie,0.0048,1970,F
Sonya,0.0047,1970,F
Loriann,0.0046,1970,F
Lora,0.0045,1970,F
Christy,0.0044,1970,F
Cindy,0.0043,1970,F
Teri,0.0042,1970,F
Shawna,0.0041,1970,F
Jody,0.004,1970,F
Jodie,0.0039,1970,F
Debbie,0.0038,1970,F
Debora,0.0037,1970,F
Debby,0.0036,1970,F
Doreen,0.0035,1970,F
Marjorie,0.0034,1970,F
Hazel,0.0033,1970,F
Lucy,0.0032,1970,F
Nina,0.0031,1970,F
Bonnie,0.003,1970,F
Bernadette,0.0029,1970,F
Faith,0.0028,1970,F
Hope,0.0027,1970,F
Grace,0.0026,1970,F
Naomi,0.0025,1970,F
Eva,0.0024,1970,F
Esther,0.0023,1970,F
Claudia,0.0022,1970,F
Georgia,0.0021,1970,F
Harriet,0.002,1970,F
Miriam,0.00199,1970,F
Daisy,0.00198,1970,F
Nora,0.00197,1970,F
Beatrice,0.00196,1970,F
Jeanine,0.00195,1970,F
Helena,0.00194,1970,F
Annette,0.00193,1970,F
Francine,0.00192,1970,F
Ida,0.00191,1970,F
Cora,0.0019,1970,F
